Name,Age,Gender,Computer Network,Web Computing,Machine Learning,Data Warehouse and Mining,Statistics,Total,Percentage,Result
Myra Sharma,22,Female,49,90,90,89,45,363,72.6,Successful
Aaradhya Sharma,19,Female,47,76,98,66,68,355,71,Successful
Saanvi Shah,22,Male,55,94,54,89,82,374,74.8,Successful
Pranav Shah,19,Male,89,64,99,73,85,410,82,Successful
Aditi Shah,23,Female,59,83,97,62,64,365,73,Successful
Saanvi Patel,22,Male,59,65,97,89,92,402,80.4,Successful
Neha Shah,24,Female,52,79,55,87,62,335,67,Successful
Aarush Shah,20,Male,46,70,97,89,92,394,78.8,Successful
Darsh Sharma,19,Female,77,92,97,69,53,388,77.6,Successful
Darsh Patel,19,Male,33,80,36,95,77,321,64.2,Successful
Ananya Shah,21,Female,59,44,97,89,45,334,66.8,Successful
Sara Shah,20,Male,87,81,37,54,40,299,59.8,Successful
Ritik Shah,23,Female,34,76,70,96,45,321,64.2,Successful
Vivaan Sharma,22,Female,60,76,97,89,69,391,78.2,Successful
Nidhi Shah,19,Male,52,91,86,98,96,423,84.6,Successful
Reyansh Sharma,21,Female,33,48,80,70,77,308,61.6,Successful
Mohammad Sharma,23,Male,75,70,97,99,45,386,77.2,Successful
Ansh Sharma,20,Male,52,70,97,73,50,342,68.4,Successful
Rudra Patel,24,Male,52,70,94,57,39,312,62.4,Successful
Arnav Sharma,22,Male,40,76,43,89,99,347,69.4,Successful
Shaurya Shah,24,Female,52,78,88,63,34,315,63,Successful
Ansh Sharma,20,Female,87,70,98,89,35,379,75.8,Successful
Sara Sharma,21,Female,86,70,91,89,51,387,77.4,Successful
Anvi Shah,20,Male,52,70,50,79,94,345,69,Successful
Kian Shah,21,Female,52,70,97,87,45,351,70.2,Successful
Aayan Sharma,21,Male,52,70,68,47,44,281,56.2,Successful
Ishaan Sharma,21,Female,52,98,97,43,78,368,73.6,Successful
Arjun Patel,21,Female,52,54,84,89,45,324,64.8,Successful
Sai Sharma,24,Female,52,66,41,36,45,240,48,Successful
Aayan Shah,22,Female,68,46,97,85,64,360,72,Successful
Rudra Shah,21,Male,52,70,72,70,45,309,61.8,Successful
Nandini Sharma,23,Female,63,70,99,89,47,368,73.6,Successful
Ishaan Sharma,24,Male,41,80,97,65,74,357,71.4,Successful
Aaradhya Shah,22,Male,94,67,81,89,45,376,75.2,Successful
Vivaan Sharma,19,Female,95,41,97,57,98,388,77.6,Successful
Aarush Shah,19,Female,62,78,97,89,45,371,74.2,Successful
Mohammad Shah,20,Male,85,70,76,64,45,340,68,Successful
Shreya Shah,20,Female,73,70,63,83,33,322,64.4,Successful
Aarav Sharma,19,Female,52,54,90,94,89,379,75.8,Successful
Riya Sharma,21,Female,52,52,37,60,45,246,49.2,Successful
Nidhi Shah,20,Male,52,54,51,62,56,275,55,Successful
Kian Shah,22,Male,33,70,91,62,45,301,60.2,Successful
Nidhi Sharma,19,Female,52,51,73,76,45,297,59.4,Successful
Kabir Shah,22,Female,99,77,98,89,100,463,92.6,Successful
Aaradhya Shah,23,Female,63,70,52,78,35,298,59.6,Successful
Shreya Patel,20,Male,99,95,61,46,45,346,69.2,Successful
Vivaan Shah,19,Female,69,37,59,73,45,283,56.6,Successful
Krish Shah,21,Male,52,70,73,79,96,370,74,Successful
Vivaan Sharma,20,Male,52,60,97,89,45,343,68.6,Successful
Sai Sharma,21,Male,48,67,97,42,84,338,67.6,Successful
Ishaan Patel,20,Male,41,33,97,98,45,314,62.8,Successful
Nandini Sharma,20,Female,59,76,49,89,45,318,63.6,Successful
Sara Shah,23,Female,84,70,75,89,37,355,71,Successful
Shreyansh Sharma,22,Female,54,82,97,89,41,363,72.6,Successful
Aditya Shah,22,Female,87,83,68,41,43,322,64.4,Successful
Atharva Patel,22,Female,52,48,83,39,36,258,51.6,Successful
Ananya Shah,19,Male,40,46,97,49,92,324,64.8,Successful
Darsh Patel,19,Female,90,35,97,89,45,356,71.2,Successful
Saanvi Sharma,24,Female,46,86,42,51,84,309,61.8,Successful
Aarush Shah,22,Female,62,42,100,67,44,315,63,Successful
Jiya Shah,23,Male,52,42,97,89,52,332,66.4,Successful
Kabir Sharma,20,Female,35,70,97,94,52,348,69.6,Successful
Kian Sharma,19,Male,79,70,97,59,56,361,72.2,Successful
Khushi Sharma,23,Female,52,70,82,41,45,290,58,Successful
Saanvi Patel,23,Female,84,58,55,89,45,331,66.2,Successful
Ishaan Shah,24,Female,52,70,97,35,67,321,64.2,Successful
Aarush Shah,19,Female,52,74,83,49,70,328,65.6,Successful
Aaryan Sharma,22,Male,52,33,75,71,45,276,55.2,Successful
Shreyansh Patel,21,Male,52,92,98,96,68,406,81.2,Successful
Aarush Sharma,22,Female,90,82,48,89,45,354,70.8,Successful
Neha Patel,21,Male,52,70,93,100,94,409,81.8,Successful
Mohammad Patel,23,Male,61,92,70,94,45,362,72.4,Successful
Aaryan Shah,20,Female,52,87,51,85,45,320,64,Successful
Krish Sharma,19,Male,37,50,84,46,80,297,59.4,Successful
Aayan Sharma,23,Female,73,69,98,81,88,409,81.8,Successful
Aaradhya Patel,22,Male,48,82,65,49,54,298,59.6,Successful
Sai Sharma,21,Male,67,99,41,56,89,352,70.4,Successful
Aadhya Sharma,22,Female,52,72,57,89,54,324,64.8,Successful
Anvi Sharma,19,Male,80,38,45,89,45,297,59.4,Successful
Sara Sharma,19,Female,52,70,74,89,69,354,70.8,Successful
Jiya Sharma,19,Female,52,40,76,89,45,302,60.4,Successful
Shaurya Sharma,20,Female,52,70,85,89,45,341,68.2,Successful
Ritik Patel,20,Female,60,80,52,90,45,327,65.4,Successful
Pranav Shah,20,Male,52,88,97,54,52,343,68.6,Successful
Khushi Sharma,19,Male,67,54,54,58,67,300,60,Successful
Pihu Sharma,24,Male,48,65,77,51,45,286,57.2,Successful
Shreya Sharma,23,Female,52,44,97,93,83,369,73.8,Successful
Aadi Patel,19,Female,52,70,57,46,45,270,54,Successful
Aditi Patel,21,Female,84,72,91,65,45,357,71.4,Successful
Ansh Sharma,20,Male,52,69,77,65,40,303,60.6,Successful
Aarush Sharma,19,Female,71,87,99,95,54,406,81.2,Successful
Aadi Sharma,20,Female,52,66,80,89,98,385,77,Successful
Ritik Patel,22,Male,42,70,92,81,45,330,66,Successful
Aaryan Sharma,19,Male,39,70,40,89,45,283,56.6,Successful
Aarush Sharma,19,Female,40,67,65,89,55,316,63.2,Successful
Aadi Sharma,24,Female,85,86,70,56,47,344,68.8,Successful
Ishaan Patel,22,Female,52,80,40,61,71,304,60.8,Successful
Arjun Sharma,22,Male,95,62,97,69,53,376,75.2,Successful
Shaurya Patel,23,Male,76,70,97,89,98,430,86,Successful
Aadhya Shah,21,Female,47,62,63,62,45,279,55.8,Successful
Sara Patel,24,Male,52,69,58,89,39,307,61.4,Successful
Myra Sharma,21,Female,52,62,56,89,76,335,67,Successful
Riya Patel,21,Male,58,70,97,54,49,328,65.6,Successful
Ansh Shah,20,Male,52,53,97,39,45,286,57.2,Successful
Nidhi Sharma,20,Male,52,84,89,55,47,327,65.4,Successful
Advik Sharma,24,Female,53,89,66,66,37,311,62.2,Successful
Dhruv Shah,20,Female,33,33,44,44,53,207,41.4,Successful
Anvi Sharma,22,Male,62,70,97,76,45,350,70,Successful
Ritik Shah,23,Male,75,84,95,81,45,380,76,Successful
Saanvi Shah,24,Female,81,34,97,89,67,368,73.6,Successful
Advik Shah,24,Female,82,65,67,95,55,364,72.8,Successful
Kian Sharma,23,Male,82,60,33,43,45,263,52.6,Successful
Shaurya Sharma,24,Male,52,92,57,89,38,328,65.6,Successful
Shreya Sharma,21,Male,59,73,33,39,48,252,50.4,Successful
Ananya Shah,24,Male,98,70,51,89,45,353,70.6,Successful
Riya Patel,24,Male,82,44,97,89,45,357,71.4,Successful
Aaryan Shah,24,Male,52,94,97,89,87,419,83.8,Successful
Ansh Shah,20,Female,52,60,97,33,70,312,62.4,Successful
Sara Patel,21,Male,63,52,58,83,55,311,62.2,Successful
Mohammad Shah,20,Male,52,49,61,89,45,296,59.2,Successful
Aadhya Patel,20,Female,90,94,90,69,91,434,86.8,Successful
Dhruv Patel,21,Female,52,70,97,48,71,338,67.6,Successful
Ritik Sharma,24,Female,36,70,77,35,45,263,52.6,Successful
Advik Sharma,23,Female,52,80,59,89,100,380,76,Successful
Ansh Shah,19,Male,52,64,58,94,74,342,68.4,Successful
Mohammad Sharma,23,Male,52,75,97,89,74,387,77.4,Successful
Nandini Patel,19,Male,52,47,57,73,45,274,54.8,Successful
Pranav Patel,22,Male,40,58,85,67,77,327,65.4,Successful
Shaurya Shah,24,Male,66,45,89,89,72,361,72.2,Successful
Sara Sharma,23,Female,52,70,97,36,89,344,68.8,Successful
Khushi Shah,22,Male,35,70,72,89,43,309,61.8,Successful
Nidhi Sharma,20,Female,52,63,96,54,62,327,65.4,Successful
Kabir Sharma,19,Male,54,58,59,85,36,292,58.4,Successful
Neha Shah,24,Female,52,91,38,92,98,371,74.2,Successful
Khushi Sharma,19,Male,52,71,45,82,74,324,64.8,Successful
Aditya Patel,22,Female,65,34,43,89,47,278,55.6,Successful
Reyansh Shah,23,Female,52,45,97,89,50,333,66.6,Successful
Arnav Shah,24,Male,52,85,84,35,73,329,65.8,Successful
Aarush Patel,22,Male,35,69,71,89,92,356,71.2,Successful
Aadi Sharma,24,Male,81,52,74,37,51,295,59,Successful
Neha Sharma,21,Female,52,70,53,89,67,331,66.2,Successful
Reyansh Sharma,24,Female,43,45,97,89,38,312,62.4,Successful
Pihu Shah,19,Male,88,66,39,44,73,310,62,Successful
Arnav Sharma,20,Female,81,70,97,65,73,386,77.2,Successful
Pranav Patel,24,Female,87,44,44,47,90,312,62.4,Successful
Aditi Sharma,23,Female,73,70,97,42,53,335,67,Successful
Darsh Sharma,22,Female,52,49,89,61,34,285,57,Successful
Vihaan Sharma,20,Male,36,70,100,68,99,373,74.6,Successful
Aadi Shah,22,Male,91,100,54,61,45,351,70.2,Successful
Darsh Patel,21,Female,69,70,84,50,55,328,65.6,Successful
Nidhi Patel,19,Male,98,70,36,61,88,353,70.6,Successful
Ritik Shah,19,Male,97,43,96,45,45,326,65.2,Successful
Kabir Shah,24,Male,52,70,58,58,56,294,58.8,Successful
Aayan Patel,23,Female,83,93,98,89,33,396,79.2,Successful
Nandini Patel,19,Male,52,34,44,89,45,264,52.8,Successful
Reyansh Patel,21,Male,52,76,97,89,52,366,73.2,Successful
Rudra Sharma,21,Male,70,49,76,58,72,325,65,Successful
Khushi Patel,21,Female,52,48,97,89,96,382,76.4,Successful
Reyansh Patel,24,Female,93,70,97,89,45,394,78.8,Successful
Nidhi Sharma,19,Male,52,70,97,43,55,317,63.4,Successful
Kian Sharma,19,Female,52,55,97,88,52,344,68.8,Successful
Darsh Patel,22,Male,75,84,85,81,45,370,74,Successful
Khushi Shah,24,Male,34,57,85,89,42,307,61.4,Successful
Shaurya Sharma,20,Female,86,70,41,41,88,326,65.2,Successful
Aditya Sharma,22,Male,41,84,40,68,44,277,55.4,Successful
Aayan Sharma,23,Male,52,63,68,89,80,352,70.4,Successful
Atharva Patel,22,Female,86,70,51,89,78,374,74.8,Successful
Aarush Sharma,23,Female,86,65,64,33,52,300,60,Successful
Mohammad Shah,19,Female,82,100,55,95,88,420,84,Successful
Kabir Shah,24,Male,99,66,88,71,85,409,81.8,Successful
Ansh Shah,21,Male,72,78,51,66,45,312,62.4,Successful
Aayan Shah,21,Female,89,55,49,69,45,307,61.4,Successful
Rudra Sharma,20,Female,87,70,78,83,39,357,71.4,Successful
Ananya Shah,23,Male,96,50,49,61,45,301,60.2,Successful
Shreya Patel,19,Female,52,94,54,100,75,375,75,Successful
Aadhya Sharma,20,Female,52,45,43,46,47,233,46.6,Successful
Saanvi Sharma,23,Female,54,70,41,34,45,244,48.8,Successful
Kabir Shah,20,Female,94,70,96,98,36,394,78.8,Successful
Dhruv Shah,24,Female,65,59,93,89,43,349,69.8,Successful
Krish Patel,19,Female,88,77,55,89,45,354,70.8,Successful
Aarav Patel,22,Female,50,70,99,36,45,300,60,Successful
Aaryan Sharma,21,Male,58,60,97,84,45,344,68.8,Successful
Atharva Shah,21,Male,52,70,97,89,44,352,70.4,Successful
Pihu Sharma,21,Female,52,53,71,89,63,328,65.6,Successful
Vivaan Sharma,23,Female,52,35,51,89,98,325,65,Successful
Shaurya Sharma,19,Male,52,65,97,89,37,340,68,Successful
Darsh Shah,22,Male,94,97,96,89,77,453,90.6,Successful
Myra Patel,19,Female,52,36,49,42,76,255,51,Successful
Aadhya Shah,23,Male,48,90,72,89,89,388,77.6,Successful
Reyansh Shah,24,Male,85,53,97,60,45,340,68,Successful
Riya Patel,21,Male,52,64,84,93,39,332,66.4,Successful
Arjun Sharma,24,Male,52,56,83,33,81,305,61,Successful
Aarush Patel,20,Male,52,86,66,92,81,377,75.4,Successful
Neha Patel,24,Female,52,48,84,89,33,306,61.2,Successful
Aaryan Sharma,21,Male,52,70,97,38,57,314,62.8,Successful
Advik Sharma,21,Female,85,70,37,89,45,326,65.2,Successful
Shreya Sharma,24,Male,80,44,57,89,42,312,62.4,Successful
Sai Sharma,19,Male,35,70,42,43,45,235,47,Successful
Sara Patel,21,Male,52,65,77,89,45,328,65.6,Successful
Rudra Sharma,23,Male,87,70,77,89,49,372,74.4,Successful
Jiya Sharma,23,Female,62,89,36,99,45,331,66.2,Successful
Vivaan Shah,19,Male,52,54,78,89,82,355,71,Successful
Arnav Sharma,22,Female,53,37,89,33,61,273,54.6,Successful
Ansh Patel,20,Female,52,41,97,43,87,320,64,Successful
Aayan Sharma,20,Male,48,42,60,89,53,292,58.4,Successful
Jiya Shah,23,Male,45,70,80,89,50,334,66.8,Successful
Advik Shah,20,Female,56,55,97,89,56,353,70.6,Successful
Rudra Sharma,23,Female,92,70,58,89,49,358,71.6,Successful
Anvi Patel,20,Male,58,48,67,89,45,307,61.4,Successful
Arjun Sharma,24,Female,45,70,91,52,73,331,66.2,Successful
Ishaan Patel,22,Female,45,70,38,93,34,280,56,Successful
Vivaan Shah,24,Male,68,67,74,89,85,383,76.6,Successful
Reyansh Patel,22,Female,52,38,66,86,45,287,57.4,Successful
Vihaan Sharma,24,Female,59,70,54,85,57,325,65,Successful
Aadi Sharma,20,Male,52,42,84,91,53,322,64.4,Successful
Dhruv Sharma,20,Female,33,70,92,65,83,343,68.6,Successful
Sara Sharma,23,Female,72,70,93,89,45,369,73.8,Successful
Dhruv Shah,21,Male,40,33,97,55,76,301,60.2,Successful
Aayan Sharma,19,Female,78,82,97,89,45,391,78.2,Successful
Vivaan Shah,19,Male,39,43,83,47,85,297,59.4,Successful
Khushi Patel,21,Male,45,63,80,99,45,332,66.4,Successful
Krish Sharma,23,Female,52,63,97,91,61,364,72.8,Successful
Vihaan Sharma,19,Male,75,70,40,89,45,319,63.8,Successful
Aaryan Patel,19,Female,52,70,97,94,36,349,69.8,Successful
Kabir Patel,20,Female,64,70,97,46,44,321,64.2,Successful
Aarush Sharma,22,Male,62,70,83,43,77,335,67,Successful
Riya Sharma,24,Female,59,83,97,90,45,374,74.8,Successful
Arnav Sharma,19,Female,93,70,97,89,69,418,83.6,Successful
Vivaan Sharma,22,Female,66,70,97,39,98,370,74,Successful
Aarush Sharma,24,Male,53,70,97,78,92,390,78,Successful
Myra Shah,24,Female,38,93,40,68,44,283,56.6,Successful
Jiya Sharma,22,Male,52,92,97,79,45,365,73,Successful
Ansh Shah,24,Female,61,98,97,89,63,408,81.6,Successful
Aditya Sharma,24,Female,45,46,93,89,50,323,64.6,Successful
Krish Patel,21,Male,52,70,77,53,46,298,59.6,Successful
Shaurya Sharma,24,Male,41,70,44,89,72,316,63.2,Successful
Pranav Sharma,22,Female,81,79,85,89,42,376,75.2,Successful
Nandini Patel,24,Female,84,70,97,50,88,389,77.8,Successful
Myra Sharma,24,Female,52,40,89,89,45,315,63,Successful
Sai Shah,23,Male,52,70,57,95,48,322,64.4,Successful
Khushi Sharma,23,Male,33,88,97,81,67,366,73.2,Successful
Myra Patel,23,Male,51,97,100,65,45,358,71.6,Successful
Reyansh Shah,22,Female,75,93,45,51,95,359,71.8,Successful
Vivaan Sharma,19,Male,44,57,49,69,45,264,52.8,Successful
Vivaan Sharma,19,Female,34,41,78,89,66,308,61.6,Successful
Krish Patel,21,Female,33,96,71,37,45,282,56.4,Successful
Pihu Sharma,21,Male,70,35,97,89,67,358,71.6,Successful
Aadi Shah,24,Female,61,65,97,47,93,363,72.6,Successful
Aadhya Shah,20,Male,82,38,97,60,44,321,64.2,Successful
Arnav Sharma,19,Female,91,70,65,77,45,348,69.6,Successful
Kabir Sharma,24,Female,64,78,97,89,52,380,76,Successful
Advik Shah,21,Female,90,98,97,89,52,426,85.2,Successful
Dhruv Sharma,19,Female,92,70,97,89,52,400,80,Successful
Krish Patel,24,Male,52,100,38,89,88,367,73.4,Successful
Aarav Shah,19,Female,77,43,69,40,84,313,62.6,Successful
Anvi Patel,24,Female,52,44,59,89,60,304,60.8,Successful
Aadi Shah,22,Female,38,70,97,89,45,339,67.8,Successful
Shreya Shah,21,Male,38,86,45,89,57,315,63,Successful
Ananya Patel,20,Male,51,89,97,89,78,404,80.8,Successful
Vivaan Patel,22,Female,54,36,97,51,70,308,61.6,Successful
Arjun Patel,21,Female,56,67,82,89,59,353,70.6,Successful
Saanvi Shah,21,Female,68,91,97,51,45,352,70.4,Successful
Ananya Shah,24,Female,98,70,48,92,34,342,68.4,Successful
Aarush Sharma,24,Female,70,94,39,89,45,337,67.4,Successful
Ishaan Shah,23,Female,80,37,90,49,35,291,58.2,Successful
Sara Patel,22,Male,56,62,36,89,74,317,63.4,Successful
Nandini Sharma,23,Female,46,70,97,81,61,355,71,Successful
Ansh Shah,19,Male,54,46,65,70,61,296,59.2,Successful
Aaradhya Shah,19,Male,40,93,97,77,94,401,80.2,Successful
Aarav Sharma,20,Female,46,73,35,44,70,268,53.6,Successful
Neha Shah,19,Male,52,33,41,72,64,262,52.4,Successful
Kabir Shah,22,Female,73,70,74,89,45,351,70.2,Successful
Darsh Sharma,20,Female,52,92,97,71,45,357,71.4,Successful
Jiya Shah,20,Male,49,70,54,40,64,277,55.4,Successful
Jiya Sharma,23,Male,40,70,97,75,45,327,65.4,Successful
Pranav Patel,21,Male,52,93,48,85,74,352,70.4,Successful
Aarush Shah,22,Female,55,54,47,89,100,345,69,Successful
Rudra Shah,23,Female,52,67,61,74,36,290,58,Successful
Aayan Shah,24,Male,52,61,97,34,75,319,63.8,Successful
Nandini Patel,19,Female,63,70,79,62,45,319,63.8,Successful
Kian Sharma,24,Male,50,37,97,89,44,317,63.4,Successful
Riya Sharma,21,Female,52,70,100,34,76,332,66.4,Successful
Reyansh Sharma,24,Female,47,76,64,76,92,355,71,Successful
Vihaan Sharma,23,Female,61,83,97,89,45,375,75,Successful
Mohammad Shah,22,Female,52,70,37,89,64,312,62.4,Successful
Aadi Shah,20,Female,52,52,83,75,45,307,61.4,Successful
Darsh Patel,19,Female,86,70,97,89,55,397,79.4,Successful
Aditi Sharma,23,Female,85,92,69,89,45,380,76,Successful
Darsh Shah,20,Female,85,58,88,98,79,408,81.6,Successful
Arnav Patel,21,Male,35,70,36,77,45,263,52.6,Successful
Ishaan Sharma,20,Male,91,37,76,89,45,338,67.6,Successful
Aadi Sharma,22,Female,52,70,95,89,59,365,73,Successful
Krish Patel,21,Male,64,70,34,67,45,280,56,Successful
Jiya Sharma,19,Male,99,70,83,94,38,384,76.8,Successful
Aarav Patel,21,Male,52,88,44,99,71,354,70.8,Successful
Vivaan Shah,19,Male,41,85,83,34,43,286,57.2,Successful
Aarush Shah,20,Male,36,64,97,89,47,333,66.6,Successful
Rudra Sharma,21,Female,62,38,48,98,45,291,58.2,Successful
Saanvi Patel,24,Male,52,68,63,63,94,340,68,Successful
Shaurya Sharma,24,Female,91,34,97,71,80,373,74.6,Successful
Myra Shah,21,Female,97,34,62,89,39,321,64.2,Successful
Vivaan Sharma,20,Female,99,43,97,89,47,375,75,Successful
Nandini Sharma,23,Female,43,79,43,89,96,350,70,Successful
Aarush Sharma,20,Female,57,34,70,41,54,256,51.2,Successful
Saanvi Shah,24,Female,90,96,64,75,77,402,80.4,Successful
Advik Sharma,22,Female,52,70,47,89,45,303,60.6,Successful
Pihu Sharma,21,Female,55,70,97,69,91,382,76.4,Successful
Ritik Sharma,24,Male,52,33,99,89,96,369,73.8,Successful
Pihu Sharma,21,Male,93,70,40,57,45,305,61,Successful
Khushi Sharma,21,Male,79,78,97,72,47,373,74.6,Successful
Vihaan Sharma,19,Male,52,70,52,89,45,308,61.6,Successful
Pihu Shah,22,Female,48,70,50,73,86,327,65.4,Successful
Mohammad Patel,22,Male,66,70,50,89,45,320,64,Successful
Sai Shah,23,Female,46,39,97,57,36,275,55,Successful
Pihu Patel,21,Male,52,88,97,36,39,312,62.4,Successful
Ananya Shah,20,Male,52,43,97,89,97,378,75.6,Successful
Mohammad Sharma,20,Female,89,56,97,89,100,431,86.2,Successful
Khushi Sharma,19,Female,52,63,97,89,52,353,70.6,Successful
Dhruv Patel,21,Female,96,70,97,89,45,397,79.4,Successful
Rudra Shah,23,Female,35,41,97,89,46,308,61.6,Successful
Arjun Sharma,20,Female,50,39,75,98,45,307,61.4,Successful
Riya Shah,23,Male,68,79,97,89,45,378,75.6,Successful
Aadhya Patel,19,Female,65,70,97,54,40,326,65.2,Successful
Saanvi Patel,22,Female,84,70,94,77,45,370,74,Successful
Riya Sharma,20,Male,86,70,92,94,63,405,81,Successful
Jiya Patel,22,Female,88,70,81,60,67,366,73.2,Successful
Myra Shah,23,Female,52,70,50,68,45,285,57,Successful
Anvi Shah,24,Male,52,38,97,87,45,319,63.8,Successful
Aadhya Sharma,22,Female,52,62,97,37,73,321,64.2,Successful
Aayan Patel,22,Male,52,50,97,99,45,343,68.6,Successful
Ritik Patel,22,Female,52,43,57,89,37,278,55.6,Successful
Darsh Shah,22,Female,61,77,97,36,45,316,63.2,Successful
Shreya Shah,21,Male,72,70,94,91,47,374,74.8,Successful
Nidhi Sharma,20,Female,58,94,42,90,88,372,74.4,Successful
Vivaan Patel,21,Male,93,42,97,45,63,340,68,Successful
Mohammad Sharma,19,Male,70,42,97,89,45,343,68.6,Successful
Aditya Sharma,19,Female,52,60,44,78,45,279,55.8,Successful
Aditi Patel,23,Female,44,90,79,86,57,356,71.2,Successful
Ritik Sharma,20,Male,73,44,82,61,45,305,61,Successful
Atharva Patel,19,Female,52,92,39,75,81,339,67.8,Successful
Aarav Shah,21,Female,61,46,43,54,45,249,49.8,Successful
Sara Patel,22,Male,52,61,77,59,99,348,69.6,Successful
Myra Patel,19,Female,47,94,49,74,71,335,67,Successful
Reyansh Shah,22,Female,52,35,99,40,45,271,54.2,Successful
Kabir Sharma,20,Female,97,70,86,89,52,394,78.8,Successful
Nandini Patel,22,Male,64,80,97,87,85,413,82.6,Successful
Darsh Shah,22,Male,52,96,70,89,45,352,70.4,Successful
Aayan Shah,19,Male,100,45,46,68,90,349,69.8,Successful
Shaurya Shah,19,Female,93,70,97,80,95,435,87,Successful
Kian Sharma,19,Male,52,100,79,43,41,315,63,Successful
Sara Shah,20,Male,52,70,97,90,66,375,75,Successful
Nidhi Patel,20,Female,39,96,72,100,96,403,80.6,Successful
Aadi Sharma,23,Male,75,77,39,67,86,344,68.8,Successful
Aadi Shah,24,Female,52,70,100,89,45,356,71.2,Successful
Sai Shah,22,Male,64,70,97,95,63,389,77.8,Successful
Neha Patel,20,Male,52,70,97,89,51,359,71.8,Successful
Kabir Shah,24,Female,37,90,97,40,41,305,61,Successful
Vihaan Sharma,21,Female,55,65,39,96,48,303,60.6,Successful
Shreyansh Sharma,19,Female,77,95,41,89,67,369,73.8,Successful
Aaryan Sharma,23,Male,52,70,97,70,45,334,66.8,Successful
Aditi Shah,23,Female,52,43,95,89,57,336,67.2,Successful
Anvi Sharma,22,Male,88,80,97,55,50,370,74,Successful
Kian Shah,19,Male,89,39,100,89,56,373,74.6,Successful
Khushi Sharma,23,Male,96,87,65,89,49,386,77.2,Successful
Saanvi Patel,24,Male,52,70,97,84,45,348,69.6,Successful
Darsh Patel,20,Male,52,80,97,77,50,356,71.2,Successful
Vihaan Sharma,22,Female,52,70,93,70,62,347,69.4,Successful
Krish Shah,22,Female,64,68,97,88,65,382,76.4,Successful
Vivaan Sharma,22,Male,52,70,56,89,60,327,65.4,Successful
Arjun Sharma,19,Male,96,87,97,89,45,414,82.8,Successful
Khushi Shah,23,Male,59,70,90,89,57,365,73,Successful
Shaurya Sharma,22,Female,95,77,49,71,79,371,74.2,Successful
Aadhya Patel,22,Male,54,35,97,89,34,309,61.8,Successful
Ansh Patel,24,Female,52,74,97,89,45,357,71.4,Successful
Darsh Sharma,19,Female,41,70,97,36,100,344,68.8,Successful
Kabir Shah,19,Female,85,70,94,90,83,422,84.4,Successful
Sara Sharma,19,Female,52,93,47,89,45,326,65.2,Successful
Aditya Sharma,24,Female,96,43,65,89,68,361,72.2,Successful
Vivaan Sharma,21,Female,67,70,55,37,87,316,63.2,Successful
Vihaan Sharma,23,Female,53,38,78,60,83,312,62.4,Successful
Vivaan Shah,24,Male,52,70,82,60,72,336,67.2,Successful
Nandini Patel,22,Male,80,70,66,53,67,336,67.2,Successful
Aadhya Shah,24,Male,52,68,63,47,40,270,54,Successful
Pranav Sharma,23,Male,52,57,97,57,49,312,62.4,Successful
Ananya Sharma,19,Male,52,52,87,59,84,334,66.8,Successful
Aditi Sharma,21,Female,34,69,97,75,48,323,64.6,Successful
Rudra Sharma,20,Female,50,43,97,89,57,336,67.2,Successful
Pihu Patel,24,Female,57,70,97,80,88,392,78.4,Successful
Pranav Shah,24,Female,48,70,34,76,53,281,56.2,Successful
Aryan Sharma,19,Female,61,99,42,89,53,344,68.8,Successful
